Id,UntisId,SchoolclassId,TeacherId,Subject,Room,Day,PeriodNr
1,1,2BHIF,PUH,NW2,DE.03,3,3
2,1,2BHIF,PUH,NW2,C3.09,4,2
3,1,2BHIF,PUH,NW2,DE.03,5,8
4,2,4AHIF,FM,AM,C3.07,3,2
5,2,4AHIF,FM,AM,C3.07,3,3
6,3,4AHIF,NAI,GGPB,C3.09,2,2
7,4,1CHIF,HL,BWM2,C5.10,1,6
8,4,1CHIF,HL,BWM2,C5.10,1,7
9,5,1EHIF,VOG,BWM1,C2.14,3,5
10,5,1EHIF,VOG,BWM1,C4.14,5,3
11,6,2AFIT,MUE,GGP,B5.12,5,2
12,7,2AFIT,MC,BETP_2,B5.12,3,8
13,7,2AFIT,MC,BETP_2,B5.12,3,9
14,8,2AFIT,NAI,DUK,B5.12,3,4
15,8,2AFIT,NAI,DUK,B5.12,4,5
16,8,2AFIT,NAI,DUK,B5.12,4,6
17,9,2AFIT,BIG,UNF,B5.12,2,4
18,9,2AFIT,BIG,UNF,B5.12,2,5
19,10,2DHIF,ZUM,POS1,C5.10,1,8
20,10,2DHIF,ZUM,POS1,C5.10,1,9
21,11,5AHWIT,FM,AM,C3.06,1,7
22,11,5AHWIT,FM,AM,C3.06,2,7
23,12,1AFIT,BLJ,GGP,C2.14,5,2
24,12,1AFIT,BLJ,GGP,C2.14,5,3
25,15,1CHIF,OEM,GGP,C5.10,3,1
26,15,1CHIF,OEM,GGP,C5.10,3,2
27,16,3BHIF,FZ,DBI1,C2.10,2,1
28,17,2AHIF,PC,AM,C4.07,2,1
29,17,2AHIF,PC,AM,C4.07,2,2
30,17,2AHIF,PC,AM,C4.07,4,5
31,18,2CHIF,PC,AM,C4.08,2,3
32,18,2CHIF,PC,AM,C2.09,4,8
33,18,2CHIF,PC,AM,C2.09,4,9
34,19,2DHIF,SB,AM,C4.08,3,1
35,19,2DHIF,SB,AM,C3.09,5,1
36,19,2DHIF,SB,AM,C3.09,5,2
37,20,2BHIF,BOM,AM,C3.09,1,3
38,20,2BHIF,BOM,AM,C5.09,2,3
39,20,2BHIF,BOM,AM,C5.09,2,4
40,23,1CHIF,MOS,NW2,AH.32,1,9
41,23,1CHIF,MOS,NW2,C3.14,4,1
42,23,1CHIF,MOS,NW2,C3.14,4,2
43,24,1BHIF,MOS,NW2,AH.32,2,4
44,24,1BHIF,MOS,NW2,AH.32,4,8
45,24,1BHIF,MOS,NW2,AH.32,4,9
46,25,1EHIF,HD,NW2,C4.07,2,4
47,25,1EHIF,HD,NW2,AH.32,3,1
48,25,1EHIF,HD,NW2,C2.14,3,2
49,27,2AHIF,WAA,NW2,C4.07,2,3
50,27,2AHIF,WAA,NW2,DE.03,3,8
51,27,2AHIF,WAA,NW2,DE.03,3,9
52,28,1BHIF,MC,BWM2,C5.09,1,1
53,28,1BHIF,MC,BWM2,C5.09,1,2
54,29,1EHIF,VOG,BWM2,C4.14,2,7
55,29,1EHIF,VOG,BWM2,C4.14,2,8
56,30,2AHIF,ENU,BWM1,C4.07,4,8
57,31,2BHIF,ENU,BWM2,C3.09,4,3
58,31,2BHIF,ENU,BWM2,C3.08,5,1
59,32,3BHIF,FRF,BWM1,C3.14,5,2
60,32,3BHIF,FRF,BWM1,C3.14,5,3
61,33,2CHIF,HL,BWM3,C3.10,3,3
62,39,1BHIF,HOV,TINF_1,C3.11,3,6
63,40,1CHIF,HOV,TINF_1,C5.10,5,1
64,41,1EHIF,STC,TINF_1,C4.14,5,4
65,42,2CHIF,ZUM,POS1,C4.08,2,7
66,42,2CHIF,ZUM,POS1,C4.08,2,8
67,43,2DHIF,KEM,NVS1,B3.12NW,4,3
68,43,2DHIF,KEM,NVS1,B3.12NW,4,4
69,44,2DHIF,SKO,NVS1x,B3.12NW,4,3
70,44,2DHIF,SKO,NVS1x,B3.12NW,4,4
71,44,2DHIF,KEM,NVS1y,B3.12NW,4,3
72,44,2DHIF,KEM,NVS1y,B3.12NW,4,4
73,45,2BHIF,ZUM,POS1,C4.07,5,6
74,45,2BHIF,ZUM,POS1,C4.07,5,7
75,46,1AHIF,PF,GGP,C5.09,2,6
76,46,1AHIF,PF,GGP,C5.09,4,1
77,47,2AHIF,SWA,GGPB,C4.07,1,9
78,47,2AHIF,SWA,GGPB,C4.07,3,3
79,48,2CHIF,PF,GGPB,C4.09,4,5
80,48,2CHIF,PF,GGPB,C4.07,5,5
81,57,2AHIF,SCG,POS1,B5.11,2,4
82,58,2CHIF,MIP,TINF_1,B3.10MF,5,6
83,58,2CHIF,MIP,TINF_1,B3.10MF,5,7
84,59,2DHIF,IR,TINF_1,C4.08,3,4
85,59,2DHIF,IR,TINF_1,C4.08,3,5
86,60,1AHIF,FRF,BWM2,C5.09,1,3
87,60,1AHIF,FRF,BWM2,C5.09,1,4
88,61,1BHIF,STJ,BWM1,C5.09,1,6
89,61,1BHIF,STJ,BWM1,C3.11,3,5
90,62,2AHIF,FRF,BWM2,C4.07,1,6
91,62,2AHIF,FRF,BWM2,B5.07,5,1
92,63,2BHIF,ENU,BWM1,C3.08,5,2
93,64,2DHIF,HAU,BWM1,C4.08,1,6
94,66,4AHIF,ENU,BWM1,C3.07,4,4
95,66,4AHIF,SCW,BWM1,C3.07,4,4
96,68,2CHIF,HL,BWM2,C4.08,5,2
97,68,2CHIF,HL,BWM2,C4.08,5,3
98,69,1AVIF,PUA,GINF,C3.14,2,13
99,70,2AFIT,OEZT,SYT,B5.12,2,7
100,74,5AKKUI,TOM,DAT,A2.04,3,6
101,74,5AKKUI,TOM,DAT,A2.04,3,7
102,74,5AKKUI,TOM,DAT,A2.04,3,8
103,74,5AKKUI,TOM,DAT,A2.04,3,9
104,74,5AKKUI,PRK,DAT,A2.04,3,6
105,74,5AKKUI,PRK,DAT,A2.04,3,7
106,74,5AKKUI,PRK,DAT,A2.04,3,8
107,74,5AKKUI,PRK,DAT,A2.04,3,9
108,75,5AKKUI,MAT,DIWE,A2.04,2,5
109,75,5AKKUI,MAT,DIWE,A2.04,2,6
110,75,5AKKUI,MAT,DIWE,A2.04,2,7
111,75,5AKKUI,ZEI,DIWE,A2.04,2,5
112,75,5AKKUI,ZEI,DIWE,A2.04,2,6
113,75,5AKKUI,ZEI,DIWE,A2.04,2,7
114,80,6AKKUI,ERS,DIWE,A2.04,2,5
115,80,6AKKUI,ERS,DIWE,A2.04,2,6
116,80,6AKKUI,ERS,DIWE,A2.04,2,7
117,80,6AKKUI,ZEI,DIWE,A2.04,2,5
118,80,6AKKUI,ZEI,DIWE,A2.04,2,6
