"HALTESTELLEN_ID";"TYP";"DIVA";"NAME";"GEMEINDE";"GEMEINDE_ID";"WGS84_LAT";"WGS84_LON";"STAND"
214460106;"stop";60200001;"Absberggasse";"Wien";90001;48.1738010728644;16.3898072745249;""
214460107;"stop";60200002;"Achengasse";"Wien";90001;48.2845258075837;16.4488984539143;""
214460108;"stop";60200003;"Ada-Christen-Gasse";"Wien";90001;48.1528655583657;16.385953501956;""
214460109;"stop";60200004;"Adam-Betz-Gasse";"Wien";90001;48.21561055503;16.5351906201068;""
214460110;"stop";60200005;"Adamovichgasse";"Wien";90001;48.1421668131238;16.3378397353386;""
214460111;"stop";60200006;"Adolf-Loos-Gasse";"Wien";90001;48.2775553604276;16.4542254635491;""
214460112;"stop";60200007;"Adolf-Unger-Gasse";"Wien";90001;48.1486762313686;16.3858816367333;""
214460113;"stop";60200008;"Afritschgasse";"Wien";90001;48.246960234718;16.4517371302121;""
214460114;"stop";60200009;"Agavenweg";"Wien";90001;48.2510697532962;16.5071991158536;""
214460115;"stop";60200010;"Neustift, Agnesgasse";"Wien";90001;48.2504297189845;16.3075934597223;""
214460116;"stop";60200011;"Aignerstraße";"Wien";90001;48.246110773392;16.3749760891841;""
214460117;"stop";60200012;"Auf der Schmelz";"Wien";90001;48.2035239231532;16.3166484777862;""
214460118;"stop";60200013;"Morzinplatz";"Wien";90001;48.2131144413282;16.3744909989306;""
214460119;"stop";60200014;"Alaudagasse";"Wien";90001;48.1538903631184;16.3823243082082;""
214460120;"stop";60200015;"Albern";"Wien";90001;48.1600507462881;16.4849298799603;""
214460121;"stop";60200016;"Alberner Hafen";"Wien";90001;48.1584927426059;16.4946316850288;""
214460122;"stop";60200017;"Alberner Hafenzufahrtsstr.";"Wien";90001;48.1720937164414;16.4724792301224;""
214460123;"stop";60200018;"Alberner Straße";"Wien";90001;48.1561796191031;16.4845615706938;""
214460124;"stop";60200019;"Albertgasse";"Wien";90001;48.2106062332956;16.344038110799;""
214460125;"stop";60200020;"Albertinaplatz";"Wien";90001;48.2049608192786;16.3685351685969;""
214460126;"stop";60200021;"Carminweg";"Wien";90001;48.2531812115548;16.4210596632594;""
214460127;"stop";60200022;"Algenweg";"Wien";90001;48.2487966979524;16.5314805779834;""
214460128;"stop";60200023;"Allerheiligengasse";"Wien";90001;48.2380820689074;16.3871662275896;""
214460129;"stop";60200024;"Allissen";"Wien";90001;48.2863489665822;16.4301685802404;""
214460130;"stop";60200025;"Alois-Behr-Straße";"Wien";90001;48.2056074093841;16.2410552466275;""
214460131;"stop";60200026;"Alsegger Straße";"Wien";90001;48.2316857237553;16.3243650060768;""
214460132;"stop";60200027;"Alser Straße";"Wien";90001;48.217142881097;16.341998935104;""
214460133;"stop";60200028;"Aichholzgasse";"Wien";90001;48.1803244479977;16.3243470397711;""
214460134;"stop";60200029;"Nußdorfer Str./Alserbachstr.";"Wien";90001;48.224648222042;16.3543148376493;""
214460135;"stop";60200030;"Triester Str./Altdorferstraße";"Wien";90001;48.1686968067122;16.3493741035867;""
214460136;"stop";60200031;"Alte Donau";"Wien";90001;48.2379564234283;16.4242307162123;""
214460137;"stop";60200032;"Aichholzgasse/Ratschkygasse";"Wien";90001;48.1775989881695;16.3236104212381;""
214460138;"stop";60200033;"Altes Landgut";"Wien";90001;48.1621060403008;16.3833843202434;""
214460139;"stop";60200034;"Althanstraße";"Wien";90001;48.2288373277351;16.3595520157557;""
214460140;"stop";60200035;"Breitenfurter St/Altmannsd Str";"Wien";90001;48.1655992519806;16.3166125451748;""
214460141;"stop";60200036;"Pfeiffenbergergasse";"Wien";90001;48.1946621729789;16.2610068290878;""
214460142;"stop";60200037;"Am Fasangarten";"Wien";90001;48.1712549942186;16.3045930866733;""
214460143;"stop";60200038;"Zanggasse";"Wien";90001;48.2388000371538;16.4844447897069;""
214460144;"stop";60200039;"Am Heidjöchl";"Wien";90001;48.2368076504547;16.4887207704593;""
214460145;"stop";60200040;"Am Himmelreich";"Wien";90001;48.1639095978204;16.4381725694219;""
214460146;"stop";60200041;"Am Hundsturm";"Wien";90001;48.1867451783243;16.347316961586;""
214460147;"stop";60200042;"Am Kanal";"Wien";90001;48.1700208494332;16.4101002167931;""
214460148;"stop";60200043;"Am Kanal/Hasenleitengasse";"Wien";90001;48.1636759178639;16.4184275994769;""
214460149;"stop";60200044;"Am Modenapark";"Wien";90001;48.1990992273478;16.3826207522519;""
214460150;"stop";60200045;"Am Platz";"Wien";90001;48.1860564258032;16.3014849157902;""
214460151;"stop";60200046;"Am Rosenhügel";"Wien";90001;48.1618783441456;16.2908937785905;""
214460152;"stop";60200047;"Reichsbrücke";"Wien";90001;48.2283346531558;16.4097408906795;""
214460153;"stop";60200048;"Am Schöpfwerk";"Wien";90001;48.1612312021862;16.3246075512035;""
214460154;"stop";60200049;"Am Spiegeln";"Wien";90001;48.1522782341351;16.2821980866402;""
214460155;"stop";60200050;"Am Spitz";"Wien";90001;48.258205294225;16.39738007237;""
214460156;"stop";60200051;"Am Tabor";"Wien";90001;48.2251030558241;16.3834741517718;""
214460157;"stop";60200052;"Fünfhausgasse";"Wien";90001;48.189086867664;16.33544123353;""
214460158;"stop";60200053;"Gesundheitszentrum Süd";"Wien";90001;48.1699070190491;16.3451340554456;""
214460159;"stop";60200054;"Ameisbachzeile";"Wien";90001;48.2011349941318;16.2922592178223;""
214460160;"stop";60200055;"Ameisgasse";"Wien";90001;48.1938537613685;16.299517605318;""
214460161;"stop";60200056;"Neubaugasse";"Wien";90001;48.1982908857453;16.350200553648;""
214460162;"stop";60200057;"Ammerweg";"Wien";90001;48.2185135557888;16.260431907306;""
214460163;"stop";60200058;"Amongasse";"Wien";90001;48.2301837531759;16.4694519076149;""
214460164;"stop";60200059;"An den Steinfeldern";"Wien";90001;48.137311184666;16.2981162334748;""
214460165;"stop";60200060;"An den alten Schanzen";"Wien";90001;48.2263837502866;16.4898436645644;""
214460166;"stop";60200061;"An den langen Lüssen";"Wien";90001;48.2526548505155;16.3419091035756;""
214460167;"stop";60200062;"An der Bien";"Wien";90001;48.2071340480777;16.4794950724914;""
214460168;"stop";60200063;"An der Niederhaid";"Wien";90001;48.2041346089318;16.2697384536495;""
214460169;"stop";60200064;"Upsalagasse";"Wien";90001;48.1500966852806;16.3800515705393;""
214460170;"stop";60200065;"Liebhartstal";"Wien";90001;48.2157482268251;16.2919088748615;""
214460171;"stop";60200066;"Angermayergasse";"Wien";90001;48.1843914032162;16.2649234837266;""
214460172;"stop";60200067;"Anschützgasse";"Wien";90001;48.1903744517599;16.323053465762;""
214460173;"stop";60200068;"Anton-Bosch-Gasse";"Wien";90001;48.2694419013947;16.3875165705504;""
214460174;"stop";60200069;"Anton-Böck-Gasse";"Wien";90001;48.2964020710988;16.3897803250664;""
214460175;"stop";60200070;"Anton-Krieger-Gasse";"Wien";90001;48.1428201897953;16.270385240654;""
214460176;"stop";60200071;"Doningasse";"Wien";90001;48.2516200567669;16.4410561614839;""
214460177;"stop";60200072;"Anton-Störck-Gasse";"Wien";90001;48.2648674233156;16.3860882492486;""
214460178;"stop";60200073;"Antonigasse";"Wien";90001;48.2259528660072;16.32978184724;""
214460179;"stop";60200074;"Anzengruberstraße";"Wien";90001;48.2139584646136;16.2239513236179;""
214460180;"stop";60200075;"Apostelgasse";"Wien";90001;48.2004883475678;16.3981346572087;""
214460181;"stop";60200076;"Liesing Aquädukt";"Wien";90001;48.1337201220539;16.2720201744711;""
214460182;"stop";60200077;"Arbeitergasse/Gürtel";"Wien";90001;48.1840559964376;16.345960505507;""
214460183;"stop";60200078;"Arbeiterinnenstrandbad";"Wien";90001;48.2432571978933;16.4140168714319;""
214460184;"stop";60200079;"Argentinierstraße";"Wien";90001;48.1885478693672;16.3767367871409;""
214460185;"stop";60200080;"Armbrustergasse";"Wien";90001;48.2538570990344;16.3548897594311;""
214460186;"stop";60200081;"Arminenstraße";"Wien";90001;48.2362811208879;16.4375886644872;""
214460187;"stop";60200082;"Arndtstraße";"Wien";90001;48.1836487138274;16.3369504032073;""
214460188;"stop";60200083;"Breitenleer Str./Arnikaweg";"Wien";90001;48.2514764999107;16.4801059268846;""
214460189;"stop";60200084;"Arsenal";"Wien";90001;48.1838044399134;16.3846239953355;""
