"LINIEN_ID";"BEZEICHNUNG";"REIHENFOLGE";"ECHTZEIT";"VERKEHRSMITTEL";"STAND"
214433717;"D";10;1;"ptTram";""
214433953;"N20";320;1;"ptBusNight";""
214433955;"N23";323;1;"ptBusNight";""
214433957;"N25";325;1;"ptBusNight";""
214433961;"N26";326;1;"ptBusNight";""
214433963;"N29";329;1;"ptBusNight";""
214433965;"N31";331;1;"ptBusNight";""
214433967;"N35";335;1;"ptBusNight";""
214433969;"N38";338;1;"ptBusNight";""
214433971;"N41";341;1;"ptBusNight";""
214433973;"N43";343;1;"ptBusNight";""
214433975;"N46";346;1;"ptBusNight";""
214433977;"N49";349;1;"ptBusNight";""
214433951;"N6";306;1;"ptBusNight";""
214433979;"N60";360;1;"ptBusNight";""
214433981;"N62";362;1;"ptBusNight";""
214433983;"N64";364;1;"ptBusNight";""
214433985;"N66";365;1;"ptBusNight";""
214433987;"N67";367;1;"ptBusNight";""
214433989;"N71";371;1;"ptBusNight";""
214433991;"N75";375;1;"ptBusNight";""
214433721;"O";11;1;"ptTram";""
214432066;"S1";400;0;"ptTrainS";""
214432069;"S2";401;0;"ptTrainS";""
214432071;"S3";402;0;"ptTrainS";""
221362332;"S4";404;0;"ptTrainS";""
214432201;"S40";408;0;"ptTrainS";""
214432203;"S45";409;0;"ptTrainS";""
214432205;"S50";410;0;"ptTrainS";""
214432207;"S60";411;0;"ptTrainS";""
214432077;"S7";405;0;"ptTrainS";""
214432209;"S80";412;0;"ptTrainS";""
214433687;"U1";1;1;"ptMetro";""
214433689;"U2";2;1;"ptMetro";""
214433691;"U3";3;1;"ptMetro";""
214433693;"U4";4;1;"ptMetro";""
214433695;"U6";5;1;"ptMetro";""
219528647;"VRT";0;0;"ptTramVRT";""
219434256;"WLB";0;0;"ptTramWLB";""
214432883;"1";600;0;"ptBusCity";""
214433697;"1";12;1;"ptTram";""
214433787;"1A";100;1;"ptBusCity";""
214432881;"10";610;0;"ptBusCity";""
214433723;"10";17;1;"ptTram";""
214433809;"10A";111;1;"ptBusCity";""
214579027;"11";611;0;"ptBusCity";""
214433811;"11A";112;1;"ptBusCity";""
214433813;"11B";113;1;"ptBusCity";""
214433815;"12A";114;1;"ptBusCity";""
214433817;"13A";115;1;"ptBusCity";""
214433821;"14A";116;1;"ptBusCity";""
214433823;"15A";117;1;"ptBusCity";""
214433827;"16A";118;0;"ptBusCity";""
214433829;"17A";119;1;"ptBusCity";""
214433727;"18";18;1;"ptTram";""
214433831;"19A";120;1;"ptBusCity";""
214432885;"2";601;0;"ptBusCity";""
214433701;"2";13;1;"ptTram";""
214433789;"2A";101;1;"ptBusCity";""
219364982;"20A";121;0;"ptBusCity";""
